ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
EG50339,RIBEL,GUNTU,195,660,Yes,"ONLY AVBL FOR TFC
DEP EGNT/NV
With RFL above FL195 in EG
Via BAGSO",H24,Fuel efficient DCT routeing,,,EG**ACC,
YXED5015,SUTEB,LASIS,315,660,Yes,"NOT AVBL FOR TFC
ARR EPWR","MON..THU 23:00..07:00 (22:00..06:00)
FRI 23:00 (22:00)..MON 07:00 (06:00)","To offer shorter route options
(crossborder DCT MUAC and KUAC)",FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
YXEB5005,SOPOK,DINAN,195,660,Yes,"TBD
- General conditions apply",23:00..07:00 (22:00..06:00),"Free Route Airspace Maastricht.
Shorter route for DEP Duesseldorf Group via NVO",,Even,"(EDYYUAC, EBBUACC)",
YXEB5004,ROUSY,BATTY,165,660,Yes,"NOT AVBL FOR TFC
ARR EHEH/BD/BK/GR/VK/WO
------
ONLY AVBL FOR TFC
With RFL above FL245",H24,"Free Route Airspace Maastricht
To enable shorter overflights",,Even,"(EDYYUAC, EBBUACC)",
LD5051,NEKIN,RASIN,055,205,Yes,"ONLY AVBL FOR TFC
ARR LDZA",H24,"To facilitate roundabout system - departures via KOPRY, arrivals via NEKIN/VEBAL",,Odd,LDZOACC,
LD5052,OSDUK,CE,055,115,Yes,"ONLY AVBL FOR TFC
ARR LDOS",H24,"To facilitate roundabout system - departures via BAREB, arrivals via OSDUK",,Odd,LDZOACC,
EG50322,HON,WCO,065,245,Yes,"ONLY AVBL FOR TFC
ARR EGUB",H24,To avoid incorrect flight planning,,,EG**ACC,
EG50149,MAY,GOXUL,MEA,660,Yes,"ONLY AVBL FOR TFC
ARR EGTK/UB
VIA KUNAV/SUBIP
------
COMPULSORY FOR TFC
ARR EGTK via KUNAV/SUBIP above FL175",H24,To connect U/M733 to L9,,,EG**ACC,
EG50185,KENET,MID,155,245,Yes,"ONLY AVBL FOR TFC
1. ARR EGKR
2. DEP EGTK/UB",H24,DCT to link to airfields/airway structure,,,EG**ACC,
LI5202,NITAM,MOGBO,225,305,Yes,"ONLY AVBL FOR TFC
DEP LFLB/LP,  GENEVA_GROUP, GENEVA_AREA, LYON_GROUP",H24,To facilitate traffic to file FRA,,,LIMMACC,
EG5320,KENET,PEPIS,MEA,195,Yes,"ONLY AVBL FOR TFC
1. DEP EGTK
With RFL below FL195 in EGTTFIR
a.Via SAM
b.ARR EGHH/HI
2. DEP EGUB
------
COMPULSORY FOR TFC
DEP EGTK
With RFL below FL195 in EGTTFIR
1. Via SAM
2. ARR EGHH/HI",H24,To ensure traffic follows standard departure route,,,EG**ACC,
EG50335,KENET,MID,245,660,Yes,"ONLY AVBL FOR TFC
DEP EGUB",H24,DCT to link to airfields/airway structure,,,EG**ACC,
