Change Status,Point Type,FRA Point,FRA Point Latitude,FRA Point Longitude,FRA Name,FRA Status En-Route,FRA Status ARR/DEP,Arrival Airport(s),Departure Airport(s),FLOS,Level Availability,Time Availability,Airspace Location Indicators,Cross-Border FRA States,Remarks
,,AMROR,N545324,E0150550,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL660,H24,EPWW,ESAA,
,,AMROR,N545324,E0150550,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,ESAA,Available only as FRA(I) point for ARR/DEP aerodromes in EKDK FIR and ESAA FIR
,,AMSIV,N395437,E0231542,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,AMSOR,N410926,E0145209,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,AMTEL,N431313,E0113631,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LIPE,LIRF,LIRQ","LIRA,LIRF,LIRQ",-,FL195 / FL660,H24,LIRR,,
,,AMTOV,N431021,E0260907,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LBBG,LBWN","LBBG,LBWN",-,FL175 / FL660,H24,LBSR,,
,,AMUGO,N423239,E0173502,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LDDU ,-,FL205 / FL660,H24,LDZO,,
,,AMUTO,N522000,E0185645,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,Only for DEP EPPW
,,ANAKI,N441204,E0084332,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,ANASA,N441843,E0223319,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,D,,LRCV,EVEN,FL105 / FL660,H24,LRBB,LYBA,
,,ANASA,N441843,E0223319,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,EVEN,FL205 / FL660,H24,LYBA,LRBB,
,,ANAVU,N471539,E0231921,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,LRSM,LRSM,EVEN/ODD,FL105 / FL175,H24,LRBB,,
,,ANAVU,N471539,E0231921,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LRSM,LRSM,-,FL175 / FL660,H24,LRBB,,
,,ANAVU,N471539,E0231921,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,AD,LRSM,LRSM,-,FL175 / FL660,H24,LRBB,,
,VORDME,ANC,N433511,E0132816,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,ANEDI,N430841,E0175131,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LQSB,,
,,ANEDO,N462148,E0294131,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,LUKK,LUKK,-,FL095 / FL660,H24,LUUU,UKBU,
